molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1898393,COc1ccccc1NC(=O)NC1(C(=O)NCC2CCCO2)CCCCC1,inactive,375.46900000000034,2.814800000000001,3.0,4.0,4.349999603463148
CHEMBL1988582,CC(C)OCCCn1c(SCC(=O)c2ccccc2)nc2c(sc3ccccc32)c1=O,inactive,452.60100000000017,5.401300000000005,0.0,7.0,4.349999603463148
CHEMBL1488342,Cc1ccc(-c2nc(CN3CCCCC3)cc(CN3CCCCC3)c2O)cc1.Cl,inactive,416.0090000000002,5.156220000000007,1.0,4.0,4.349999603463148
CHEMBL1404321,COC(=O)C1=CN(Cc2ccc(F)cc2)C=C(C(=O)OC)C1c1cc(OC)c(OC)c(OC)c1,inactive,471.48100000000034,3.564700000000003,0.0,8.0,4.550000451689026
CHEMBL1397217,COCCN=C(S)N1CCN(c2nc(-c3ccc(Cl)cc3)cs2)CC1,inactive,396.96900000000005,3.5177000000000023,1.0,5.0,4.40000018605658
CHEMBL1369628,CCc1ccc(NC(=O)C2=CC(c3cccs3)=NS(=O)(=O)N2C)cc1,inactive,375.4750000000001,2.812400000000001,1.0,4.0,4.349999603463148
CHEMBL1446437,CCN(CC)CCOC(=O)c1ccc(NC(=O)CCCN2C(=O)S/C(=C/c3ccc(OC)cc3)C2=S)cc1,inactive,555.7220000000003,5.449800000000005,1.0,8.0,4.349999603463148
CHEMBL1571775,COc1ccc(-c2noc(-c3nnn(-c4cc(C)ccc4C)c3N)n2)cc1,inactive,362.3930000000001,3.1919400000000007,1.0,8.0,4.349999603463148
CHEMBL1605235,O=[N+]([O-])c1cc([N+](=O)[O-])c2oc(-c3ccccc3)c(Br)c2c1O,inactive,379.12200000000007,4.384300000000002,1.0,6.0,4.349999603463148
CHEMBL1886555,CC(=O)c1ccc(NS(=O)(=O)c2cc(-c3cnc(C4CC4)o3)ccc2C)cc1,inactive,396.4680000000002,4.530820000000004,1.0,5.0,4.800000874803203
CHEMBL3183571,CNC[C@@H]1Oc2c(NC(=O)Nc3ccccc3)cccc2C(=O)N([C@@H](C)CO)C[C@H]1C,active,426.5170000000003,2.770100000000001,4.0,5.0,6.950007143079858
CHEMBL1451975,N#C/C(=C\c1ccc(N2CCOCC2)o1)C(=O)N1CCOCC1,inactive,317.3450000000001,0.88198,0.0,6.0,4.499999678657065
CHEMBL1373844,COc1cc(/C=C2/C(=O)NN(c3ccc(F)cc3)C2=O)cc(Cl)c1O,inactive,362.74400000000014,2.6547000000000014,2.0,4.0,4.300000202445418
CHEMBL1525763,COc1cc(CNC(=O)c2ccc3c(c2)c(C)c(C)n3Cc2cccc(C)c2)cc(OC)c1OC,inactive,472.58500000000026,5.5706600000000055,1.0,5.0,4.499999678657065
CHEMBL1576934,CCOC(=O)COc1nc(C)c(Br)c(OC)n1,inactive,305.12800000000004,1.49802,0.0,6.0,4.450000476425332
CHEMBL1301121,S=C(NCCc1ccccc1)NC1CC2CCC(C1)N2Cc1ccccc1,inactive,379.57300000000015,3.8888000000000034,2.0,2.0,4.499999678657065
